"SUID","__mclCluster","MAA","name","score","selected","shared name"
"72","25","0.025","FAM160B1",,"false","FAM160B1"
"73","6","0.0","APOPT1",,"false","APOPT1"
"74","6","0.0","FAM84A",,"false","FAM84A"
"75","626","0.75","FGFR3","1.0","false","FGFR3"
"76","6","0.0","OR8H2",,"false","OR8H2"
"77","25","0.025","TPK1",,"false","TPK1"
"78","397","0.0","BATF",,"false","BATF"
"79","1027","0.0","TMED5",,"false","TMED5"
"80","22","0.09302325581395349","ARHGAP45",,"false","ARHGAP45"
"81","40","0.038461538461538464","SIRT6",,"false","SIRT6"
"82","770","0.0","SAG",,"false","SAG"
"83","72","0.0","SYNGR3",,"false","SYNGR3"
"84","249","0.0","CTU2",,"false","CTU2"
"85","6","0.0","PCP2",,"false","PCP2"
"86","319","0.3333333333333333","LPP","1.0","false","LPP"
"87","1084","0.0","AGAP2",,"false","AGAP2"
"88","357","0.16666666666666666","LYVE1",,"false","LYVE1"
"89","1","0.029654036243822072","USP9Y",,"false","USP9Y"
"90","25","0.025","CDCA7",,"false","CDCA7"
"91","106","0.0","RARS2",,"false","RARS2"
"92","6","0.0","LYZL4",,"false","LYZL4"
"93","25","0.025","VPS37C",,"false","VPS37C"
"94","41","0.038461538461538464","ZNF793",,"false","ZNF793"
"95","72","0.0","SLC15A4",,"false","SLC15A4"
"96","1","0.029654036243822072","STOX2",,"false","STOX2"
"97","25","0.025","FAM168B",,"false","FAM168B"
"98","819","0.0","CDS2",,"false","CDS2"
"99","474","0.2","HEMGN",,"false","HEMGN"
"100","86","0.0","MRC1",,"false","MRC1"
"101","6","0.0","S100G",,"false","S100G"
"102","1320","0.0","ANXA9",,"false","ANXA9"
"103","72","0.0","HPN",,"false","HPN"
"104","1400","0.0","CLEC6A",,"false","CLEC6A"
"105","1400","0.0","CLEC4D",,"false","CLEC4D"
"106","72","0.0","ACSF3",,"false","ACSF3"
"107","6","0.0","ABAT",,"false","ABAT"
"108","360","0.0","GOLGA1",,"false","GOLGA1"
"109","315","0.0","NME5",,"false","NME5"
"110","842","0.3333333333333333","ERCC5","1.0","false","ERCC5"
"111","594","0.0","NPHS2",,"false","NPHS2"
"112","1","0.029654036243822072","FAM110B",,"false","FAM110B"
"113","6","0.0","NR2C2AP",,"false","NR2C2AP"
"114","942","0.0","ZNRF3",,"false","ZNRF3"
"115","129","0.0","FICD",,"false","FICD"
"116","6","0.0","NANP",,"false","NANP"
"117","336","0.0","SAMD9",,"false","SAMD9"
"118","25","0.025","KDELR2",,"false","KDELR2"
"119","399","0.2","RUNX2",,"false","RUNX2"
"120","21","0.09090909090909091","CDX1",,"false","CDX1"
"121","1399","0.0","HILPDA",,"false","HILPDA"
"122","1399","0.0","FZD10",,"false","FZD10"
"123","6","0.0","MACROD1",,"false","MACROD1"
"124","6","0.0","PIGV",,"false","PIGV"
"125","1379","0.5","KCNH1",,"false","KCNH1"
"126","193","0.0","MMP28",,"false","MMP28"
"127","6","0.0","ST6GALNAC4",,"false","ST6GALNAC4"
"128","44","0.08","CCDC7",,"false","CCDC7"
"129","578","0.0","ERCC6L2",,"false","ERCC6L2"
"130","1","0.029654036243822072","ZNF570",,"false","ZNF570"
"131","1276","0.5","WNT11",,"false","WNT11"
"132","964","0.0","ESYT2",,"false","ESYT2"
"133","1","0.029654036243822072","SNX22",,"false","SNX22"
"134","1398","0.0","GIMAP2",,"false","GIMAP2"
"135","1398","0.0","GIMAP7",,"false","GIMAP7"
"136","956","0.0","IAPP",,"false","IAPP"
"137","1050","0.0","BBS10",,"false","BBS10"
"138","21","0.09090909090909091","QSER1",,"false","QSER1"
"139","234","0.0","SNX18",,"false","SNX18"
"140","25","0.025","CD58",,"false","CD58"
"141","1151","0.0","DRD4",,"false","DRD4"
"142","6","0.0","GPR119",,"false","GPR119"
"143","1397","0.0","C10orf95",,"false","C10orf95"
"144","1397","0.0","NUS1",,"false","NUS1"
"145","705","0.0","PDE5A",,"false","PDE5A"
"146","72","0.0","SVOP",,"false","SVOP"
"147","6","0.0","SNN",,"false","SNN"
"148","487","0.0","ADAMTSL2",,"false","ADAMTSL2"
"149","337","0.0","ITGA6",,"false","ITGA6"
"150","10","0.09195402298850575","C16orf87",,"false","C16orf87"
"151","145","0.0","ELOVL4",,"false","ELOVL4"
"152","1","0.029654036243822072","STK10",,"false","STK10"
"153","23","0.047619047619047616","JRK",,"false","JRK"
"154","25","0.025","PPP4R4",,"false","PPP4R4"
"155","622","0.0","CNTROB",,"false","CNTROB"
"156","106","0.0","ZNF565",,"false","ZNF565"
"157","1","0.029654036243822072","FAM199X",,"false","FAM199X"
"158","6","0.0","SLC35E3",,"false","SLC35E3"
"159","60","0.05263157894736842","CALB1",,"false","CALB1"
"160","505","0.0","ZNF581",,"false","ZNF581"
"161","113","0.0","TANK",,"false","TANK"
"162","6","0.0","DPCD",,"false","DPCD"
"163","564","0.0","GRM2",,"false","GRM2"
"164","41","0.038461538461538464","MGA",,"false","MGA"
"165","202","0.125","NOX1",,"false","NOX1"
"166","964","0.0","ESYT3",,"false","ESYT3"
"167","964","0.0","ESYT1",,"false","ESYT1"
"168","6","0.0","TMEM207",,"false","TMEM207"
"169","6","0.0","IL36B",,"false","IL36B"
"170","162","0.0","KCNF1",,"false","KCNF1"
"171","25","0.025","IFNA16",,"false","IFNA16"
"172","225","0.0","SNTG2",,"false","SNTG2"
"173","103","0.0","CCNJ",,"false","CCNJ"
"174","25","0.025","CHRDL1",,"false","CHRDL1"
"175","525","0.0","DMKN",,"false","DMKN"
"176","1251","0.5","CXCL14",,"false","CXCL14"
"177","25","0.025","ANKS6",,"false","ANKS6"
"178","6","0.0","NDP",,"false","NDP"
"179","32","0.030303030303030304","NPIPA1",,"false","NPIPA1"
"180","6","0.0","CCDC88C",,"false","CCDC88C"
"181","25","0.025","PCCA",,"false","PCCA"
"182","976","0.0","TARBP2",,"false","TARBP2"
"183","25","0.025","FAM69A",,"false","FAM69A"
"184","6","0.0","PBLD",,"false","PBLD"
"185","6","0.0","AAMDC",,"false","AAMDC"
"186","72","0.0","C18orf32",,"false","C18orf32"
"187","626","0.75","FGFR1OP","1.0","false","FGFR1OP"
"188","614","0.0","DEFB103B",,"false","DEFB103B"
"189","145","0.0","ELOVL2",,"false","ELOVL2"
"190","130","0.18181818181818182","NR5A2",,"false","NR5A2"
"191","1","0.029654036243822072","RPS4Y1",,"false","RPS4Y1"
"192","428","0.0","OARD1",,"false","OARD1"
"193","842","0.3333333333333333","GTF2H2",,"false","GTF2H2"
"194","145","0.0","ELOVL7",,"false","ELOVL7"
"195","21","0.09090909090909091","YPEL5",,"false","YPEL5"
"196","6","0.0","C21orf59",,"false","C21orf59"
"197","159","0.1","TIPRL",,"false","TIPRL"
"198","907","0.0","MIEF2",,"false","MIEF2"
"199","340","0.3333333333333333","KMT2A","1.0","false","KMT2A"
"200","21","0.09090909090909091","SEPSECS",,"false","SEPSECS"
"201","674","0.0","NTNG1",,"false","NTNG1"
"202","6","0.0","GALE",,"false","GALE"
"203","106","0.0","DTWD2",,"false","DTWD2"
"204","6","0.0","AKR1C4",,"false","AKR1C4"
"205","316","0.16666666666666666","BDH1",,"false","BDH1"
